X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,MALICIOUS_OFFENSE
0,0.6346153846,0.6153846154,0.2,0.2,0.2631578947,0.3333333333,0,0.8333333333,0.01111111111,0.5240963855,0,0.6206896552,0.6549295775,0.96,1
0,0.07692307692,0.07692307692,0.6,1,0.2631578947,0.3333333333,0,0.8333333333,0.03333333333,0.5240963855,0.03333333333,0.3620689655,0.2042253521,0.68,1
0.1428571429,0.07692307692,0.07692307692,0.6,1,0.7894736842,0.5555555556,0,0.8333333333,0.01111111111,0.5240963855,0,0.1551724138,0.9366197183,0.92,1
0,0.1346153846,0.1538461538,0.7,0.6,0.1052631579,0.3888888889,0.0303030303,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.6206896552,0.4366197183,0.68,1
0,0.6923076923,0.6538461538,0.2,0.2,0.2105263158,0.1111111111,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.7931034483,0.2042253521,0.68,1
0,0.4807692308,0.4807692308,0.9,0,0.2105263158,0.1111111111,0.0202020202,1,0.01111111111,0,0.01111111111,0.6206896552,0.2042253521,0.68,1
0,0.6923076923,0.6538461538,0.2,0.2,0.05263157895,0,0.0101010101,0.3333333333,0.01111111111,0,0.01111111111,0.7931034483,1,0.68,1
0.1428571429,0.7115384615,0.7115384615,0,0,0.5789473684,0.9444444444,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.8879310345,0.8098591549,0.68,1
0,0.05769230769,0.03846153846,0.3,1,0.05263157895,0,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.01724137931,0.2042253521,0.68,1
0,0.4038461538,0.4423076923,0.4,0.2,0.2631578947,0.3333333333,0.0101010101,1,0.01111111111,0.5240963855,0,0.1551724138,0.3732394366,0.92,1
0,0.6923076923,0.6538461538,0.2,0.2,0.05263157895,0,0,0.8333333333,0.02222222222,0.5240963855,0,0.7931034483,0.6549295775,0.86,1
0,0.9038461538,0.9230769231,0.7,0.6,0.2105263158,0.1111111111,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.8448275862,0.4366197183,0.68,1
0.7142857143,0.4230769231,0.4230769231,0.7,0.6,0.6842105263,1,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.7931034483,0.2042253521,0.68,1
0,0.9423076923,0.9423076923,0.6,1,0.2631578947,0.3333333333,0,0.8333333333,0.01111111111,0.75,0.01111111111,0.5775862069,0.2042253521,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.1578947368,0.2777777778,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.6206896552,0.5633802817,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.1578947368,0.2777777778,0,0.8333333333,0.01111111111,0,0.01111111111,0.8879310345,1,0.68,1
0,0.2884615385,0.2692307692,0.3,1,0.2105263158,0.1111111111,0,0.8333333333,0.01111111111,0.5240963855,0,1,0.9366197183,0,1
0,0.6923076923,0.6538461538,0.2,0.2,0.05263157895,0,0.0101010101,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.7931034483,0.4366197183,0.68,1
0,0.4038461538,0.4423076923,0.4,0.2,0.2105263158,0.1111111111,0,0.8333333333,0.01111111111,0.5240963855,0,0.9568965517,0.7253521127,0.86,1
0.1428571429,0.7115384615,0.7115384615,0,0,0.5789473684,0.9444444444,0.0101010101,1,0.01111111111,0.3825301205,0.01111111111,0.8879310345,0.5422535211,0.68,1
0,0.9423076923,0.9423076923,0.6,1,0.1052631579,0.3888888889,0.0303030303,0.8333333333,0.02222222222,0.75,0.02222222222,0.6206896552,0.7535211268,0.68,1
1,0.4038461538,0.4423076923,0.4,0.2,0.4736842105,0.4444444444,0.0202020202,1,0.03333333333,0.5240963855,0.03333333333,0.9655172414,0.0985915493,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.3684210526,0.05555555556,0,0.8333333333,0.01111111111,0.9518072289,0.01111111111,0.6206896552,0.4366197183,0.68,1
0,0.3076923077,0.2884615385,0,0,0.4210526316,0.1666666667,0.0101010101,1,0.01111111111,0,0.01111111111,0.1034482759,0.04225352113,0.68,1
0.7142857143,0.4230769231,0.4230769231,0.7,0.6,0.8421052632,0.6666666667,0.0101010101,1,0.02222222222,0,0.02222222222,0.2931034483,0.2042253521,0.68,1
0,0.6923076923,0.6538461538,0.2,0.2,0.3157894737,0.2222222222,0.0101010101,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.7931034483,1,0.68,1
0.1428571429,0.7115384615,0.7115384615,0,0,0.5789473684,0.9444444444,0.0101010101,0.1666666667,0.01111111111,0.9006024096,0.01111111111,0.8879310345,0.9154929577,0.68,1
0,0.2115384615,0.2115384615,0.7,0.6,0.1578947368,0.2777777778,0.0202020202,0.8333333333,0.01111111111,0.9518072289,0.01111111111,0.1034482759,0.4366197183,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.2631578947,0.3333333333,0.0202020202,1,0.01111111111,0.5240963855,0.01111111111,0.8879310345,0.2042253521,0.68,1
0,0.6923076923,0.6538461538,0.2,0.2,0.05263157895,0,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.7931034483,0.6549295775,0.68,1
0,0.6923076923,0.6538461538,0.2,0.2,0.2105263158,0.1111111111,0,0.3333333333,0.01111111111,0.9006024096,0.01111111111,0.7931034483,1,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.2105263158,0.1111111111,0.0101010101,1,0.02222222222,0.75,0.02222222222,0.6206896552,0.4366197183,0.68,1
0.1428571429,0.6923076923,0.6538461538,0.2,0.2,0.7894736842,0.5555555556,0,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.7931034483,0.9154929577,0.68,1
0,0.9230769231,0.9038461538,0.4,0.2,0.3684210526,0.05555555556,0.0101010101,1,0.04444444444,0.4759036145,0.02222222222,0.8879310345,0.4366197183,0.68,0
0,0.75,0.75,0.6,1,0.2105263158,0.1111111111,0.0101010101,1,0.02222222222,0.75,0.02222222222,0.8879310345,0.5633802817,0.68,1
0,0.6346153846,0.6153846154,0.2,0.2,0.4736842105,0.4444444444,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.8879310345,0.2042253521,0.68,1
0,0.4038461538,0.4423076923,0.4,0.2,0.2105263158,0.1111111111,0.0101010101,1,0.06666666667,0.03614457831,0.06666666667,0.8879310345,0.5633802817,0.68,0
0,0.3076923077,0.2884615385,0,0,0.05263157895,0,0.0202020202,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.6206896552,1,0.68,1
0,0.09615384615,0.09615384615,0.3,1,0.1578947368,0.2777777778,0.0101010101,1,0.02222222222,0.75,0.02222222222,0.8879310345,0.2042253521,0.68,1
0,0.4038461538,0.4423076923,0.4,0.2,0.1052631579,0.3888888889,0.0303030303,0.3333333333,0.01111111111,0.75,0.01111111111,0.01724137931,0.6126760563,0.68,1
0,0.7307692308,0.7307692308,1,0.6,0.1578947368,0.2777777778,0.0303030303,1,0.01111111111,0,0.01111111111,0.6206896552,0,0.68,1
0,0.7307692308,0.7307692308,1,0.6,0.3684210526,0.05555555556,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.8879310345,1,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.1052631579,0.3888888889,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.9655172414,0.2042253521,0.68,1
0,0.8846153846,0.8846153846,0.3,1,0.3684210526,0.05555555556,0,0.8333333333,0.01111111111,0.2228915663,0,0.974137931,1,0,1
0,0.6923076923,0.6538461538,0.2,0.2,0.05263157895,0,0.0101010101,0.3333333333,0.01111111111,0,0.01111111111,0.7931034483,0.5633802817,0.68,1
0.1428571429,0.07692307692,0.07692307692,0.6,1,0.7894736842,0.5555555556,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.9396551724,0.6549295775,0.68,1
0,0.6346153846,0.6153846154,0.2,0.2,0.3157894737,0.2222222222,0,0.8333333333,0.01111111111,0.5240963855,0,0.6206896552,0.6549295775,0.96,1
0,0.4230769231,0.4230769231,0.7,0.6,0.3684210526,0.05555555556,0.0202020202,1,0.02222222222,0,0.02222222222,0.8448275862,0.7253521127,0.68,1
0.1428571429,0.4230769231,0.4230769231,0.7,0.6,0.7894736842,0.5555555556,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.6206896552,0.6549295775,0.68,1
0.1428571429,0.75,0.75,0.6,1,0.7894736842,0.5555555556,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.6206896552,0.5633802817,0.68,1
0,0.8653846154,0.8653846154,1,0.6,0.1578947368,0.2777777778,0.0202020202,0.8333333333,0.01111111111,0.75,0.01111111111,0.8879310345,0.2042253521,0.68,1
0,0.3653846154,0.3653846154,0.1,0.6,0.3157894737,0.2222222222,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.8879310345,0.2042253521,0.68,1
0.1428571429,0.4230769231,0.4230769231,0.7,0.6,0.7894736842,0.5555555556,0.0202020202,0.3333333333,0.01111111111,0.9126506024,0.01111111111,0.9655172414,1,0.68,1
0.1428571429,0.9038461538,0.9230769231,0.7,0.6,0.7894736842,0.5555555556,0,0.8333333333,0.01111111111,0.5240963855,0,0.7931034483,0.2042253521,0,1
0,0.05769230769,0.03846153846,0.3,1,0.05263157895,0,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.8879310345,0.4366197183,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.2631578947,0.3333333333,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.8879310345,0.2042253521,0.68,1
0.1428571429,0.3461538462,0.3461538462,0.9,0,0.6842105263,1,0.0101010101,1,0.02222222222,0.75,0.02222222222,0.9655172414,1,0.68,1
0,0.4230769231,0.4230769231,0.7,0.6,0.1052631579,0.3888888889,0.0202020202,0.3333333333,0.01111111111,0.9126506024,0.01111111111,0.6206896552,1,0.68,1
0,0.6730769231,0.5769230769,0.3,1,0.05263157895,0,0,0.8333333333,0.01111111111,0.75,0.01111111111,0.8879310345,0.2042253521,0.68,1
0,0.9038461538,0.9230769231,0.7,0.6,0.2631578947,0.3333333333,0.0101010101,0.3333333333,0.01111111111,0.75,0,0.2068965517,0.8732394366,0.68,1
0,0.8653846154,0.8653846154,1,0.6,0.4210526316,0.1666666667,0.0404040404,1,0.01111111111,0.5240963855,0,0.9655172414,0.2042253521,0.96,1
1,0.1730769231,0.1923076923,0.7,0.6,0.4736842105,0.4444444444,0.0101010101,0.8333333333,0.01111111111,0.75,0.01111111111,0.8879310345,0.9154929577,0.68,1
0,0.2884615385,0.2692307692,0.3,1,0.2631578947,0.3333333333,0,0.8333333333,0.01111111111,0.5240963855,0,0.7931034483,0.9154929577,0,1
0.1428571429,0.6923076923,0.6538461538,0.2,0.2,0.7894736842,0.5555555556,0,0.8333333333,0.01111111111,0.5240963855,0,0.7931034483,0.2042253521,0.86,1
0,0.6346153846,0.6153846154,0.2,0.2,0.3684210526,0.05555555556,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.8879310345,0.4366197183,0.68,1
0,0.9423076923,0.9423076923,0.6,1,0.2105263158,0.1111111111,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.8879310345,0.2042253521,0.68,1
0,0.03846153846,0.05769230769,1,0.6,0.3684210526,0.05555555556,0.0101010101,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.9655172414,0.6549295775,0.68,1
0,0.8653846154,0.8653846154,1,0.6,0.1578947368,0.2777777778,0.0101010101,1,0.01111111111,0.5240963855,0,0.8879310345,0.2042253521,0.86,1
1,0.4038461538,0.4423076923,0.4,0.2,0.4736842105,0.4444444444,0,0.8333333333,0.01111111111,0.5240963855,0,0.9655172414,0.6549295775,0,1
0,0.07692307692,0.07692307692,0.6,1,0.1052631579,0.3888888889,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.6206896552,0.6549295775,0.68,1
0,0.6923076923,0.6538461538,0.2,0.2,0.05263157895,0,0,0.8333333333,0.01111111111,0.5240963855,0,0.7931034483,0.6549295775,0.86,1
0,0.07692307692,0.07692307692,0.6,1,0.3157894737,0.2222222222,0.0101010101,1,0.01111111111,0.5240963855,0.01111111111,1,0.0985915493,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.3157894737,0.2222222222,0.0202020202,1,0.01111111111,0.5240963855,0,0.1551724138,0.9718309859,0.92,1
0,0.4038461538,0.4423076923,0.4,0.2,0.1052631579,0.3888888889,0,0.8333333333,0.01111111111,0.75,0.01111111111,1,0.2042253521,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.2105263158,0.1111111111,0.0202020202,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.6206896552,1,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.1578947368,0.2777777778,0.0202020202,0.5,0.01111111111,0.75,0.01111111111,0.8879310345,0.7253521127,0.68,1
0,0.3076923077,0.2884615385,0,0,0.05263157895,0,0.0404040404,1,0.01111111111,0.75,0.01111111111,0.6206896552,0.2042253521,0.68,1
0,0.75,0.75,0.6,1,0.2631578947,0.3333333333,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.8879310345,0.838028169,0.68,1
0,0.8461538462,0.8461538462,0.1,0.6,0.1052631579,0.3888888889,0.0101010101,0.3333333333,0.01111111111,0,0.01111111111,0.2931034483,0.7535211268,0.68,1
0,0.7115384615,0.7115384615,0,0,0.1578947368,0.2777777778,0,0.8333333333,0.01111111111,0.75,0.01111111111,0.8448275862,0.9154929577,0.68,1
0,0.7115384615,0.7115384615,0,0,0.2105263158,0.1111111111,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.8879310345,0.2042253521,0.68,1
0.7142857143,0.1538461538,0.1346153846,0.7,0.6,0.9473684211,0.7222222222,0.0202020202,1,0.01111111111,0.9518072289,0.01111111111,0.8448275862,0.2042253521,0.68,1
0,0.7307692308,0.7307692308,1,0.6,0.3157894737,0.2222222222,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.8448275862,0.6126760563,0.68,1
0,0.6923076923,0.6538461538,0.2,0.2,0.2105263158,0.1111111111,0,0.8333333333,0.01111111111,0.5240963855,0,0.8879310345,0.6549295775,0.86,1
0,0.4615384615,0.4615384615,0,0,0.3684210526,0.05555555556,0.0101010101,0.1666666667,0.02222222222,0.75,0.02222222222,0.5086206897,0.9154929577,0.68,1
0,0.6730769231,0.5769230769,0.3,1,0.05263157895,0,0.0101010101,1,0.1333333333,0.75,0.1333333333,0.8879310345,0.2042253521,0.68,1
0,0.7692307692,0.7692307692,0.2,0.2,0.2631578947,0.3333333333,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.8879310345,0.5633802817,0.68,1
0,0.7115384615,0.7115384615,0,0,0.1052631579,0.3888888889,0.0303030303,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.6206896552,1,0.68,1
0,0.1538461538,0.1346153846,0.7,0.6,0.3157894737,0.2222222222,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.6206896552,0.2042253521,0.68,1
0,0.3269230769,0.3076923077,0,0,0.3157894737,0.2222222222,0.0202020202,0.3333333333,0.01111111111,0.9126506024,0.01111111111,0.6206896552,1,0.68,1
0,0.9423076923,0.9423076923,0.6,1,0.1052631579,0.3888888889,0.0101010101,1,0.01111111111,0.5240963855,0,0.6206896552,0.6549295775,0.46,1
1,0.07692307692,0.07692307692,0.6,1,0.4736842105,0.4444444444,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.9655172414,0.838028169,0.68,1
0.1428571429,0.4230769231,0.4230769231,0.7,0.6,0.7894736842,0.5555555556,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.8879310345,0.4366197183,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.05263157895,0,0,0.8333333333,0.01111111111,0.5240963855,0,0.1551724138,0.6549295775,0.92,1
0,0.4615384615,0.4615384615,0,0,0.2105263158,0.1111111111,0.0101010101,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.6206896552,0.838028169,0.68,1
1,0.8076923077,0.8076923077,0.7,0.6,0.4736842105,0.4444444444,0,0.8333333333,0.01111111111,0.5240963855,0,0.7931034483,0.2042253521,0,1
0,0.09615384615,0.09615384615,0.3,1,0.1052631579,0.3888888889,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.8879310345,0.2042253521,0.68,1
0.4285714286,0.1730769231,0.1923076923,0.7,0.6,0.9473684211,0.7222222222,0.0202020202,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.9655172414,1,0.68,1
0,0.4615384615,0.4615384615,0,0,0.2105263158,0.1111111111,0.0101010101,0.8333333333,0.01111111111,0.9518072289,0.01111111111,0.7931034483,0.8098591549,0.68,1
0,0.9038461538,0.9230769231,0.7,0.6,0.3684210526,0.05555555556,0,0.8333333333,0.01111111111,0.5240963855,0,0.4655172414,0.9154929577,0,1
0,0.3461538462,0.3461538462,0.9,0,0.1578947368,0.2777777778,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.8879310345,0.2042253521,0.68,1
0,0.4807692308,0.4807692308,0.9,0,0.3157894737,0.2222222222,0.0101010101,0.8333333333,0.01111111111,0.9518072289,0.01111111111,0.6206896552,0.5633802817,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.05263157895,0,0,0.8333333333,0.01111111111,0.75,0.01111111111,0.8448275862,0.6549295775,0.68,1
0,0.7884615385,0.7884615385,0.4,0.2,0.4210526316,0.1666666667,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.6206896552,0.7253521127,0.68,1
0,0.7115384615,0.7115384615,0,0,0.1052631579,0.3888888889,0.0101010101,0.3333333333,0.02222222222,0.75,0.02222222222,0.6206896552,1,0.68,1
0,0.6346153846,0.6153846154,0.2,0.2,0.3157894737,0.2222222222,0,0.8333333333,0.01111111111,0.5240963855,0,1,0.7253521127,0,1
0.1428571429,0.6923076923,0.6538461538,0.2,0.2,0.5789473684,0.9444444444,0,0.8333333333,0.01111111111,0.75,0.01111111111,0.7931034483,0.9154929577,0.68,1
1,0.4038461538,0.4423076923,0.4,0.2,0.4736842105,0.4444444444,0,0.8333333333,0.01111111111,0.5240963855,0,0.9655172414,0.6549295775,0.68,1
0,0.1346153846,0.1538461538,0.7,0.6,0.1052631579,0.3888888889,0.0101010101,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.01724137931,0.6126760563,0.68,1
0,0.6346153846,0.6153846154,0.2,0.2,0.3684210526,0.05555555556,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.9655172414,0.2042253521,0.68,1
0.1428571429,0.4807692308,0.4807692308,0.9,0,0.8421052632,0.6666666667,0.0101010101,0.1666666667,0.01111111111,0.75,0.01111111111,0.9396551724,0.6126760563,0.68,1
0,0.75,0.75,0.6,1,0.3157894737,0.2222222222,0.0202020202,1,0.02222222222,0.9518072289,0.02222222222,0.1034482759,0.4366197183,0.68,1
0.1428571429,0.1730769231,0.1923076923,0.7,0.6,0.7894736842,0.5555555556,0.0202020202,1,0.01111111111,0.5240963855,0.01111111111,0.7931034483,0.7535211268,0.68,1
0,0.05769230769,0.03846153846,0.3,1,0.05263157895,0,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.8879310345,1,0.68,1
0,0.8653846154,0.8653846154,1,0.6,0.1578947368,0.2777777778,0,0.8333333333,0.01111111111,0.75,0.01111111111,0.8879310345,0.9154929577,0.68,1
0,0.9423076923,0.9423076923,0.6,1,0.1052631579,0.3888888889,0,0.8333333333,0.01111111111,0.9879518072,0.01111111111,0.8879310345,0,0.68,1
0.1428571429,0.07692307692,0.07692307692,0.6,1,0.8421052632,0.6666666667,0.0202020202,1,0.01111111111,0.9518072289,0.01111111111,0.75,0.5633802817,0.68,1
0.1428571429,0.75,0.75,0.6,1,0.5789473684,0.9444444444,0,0.8333333333,0.01111111111,0.5240963855,0,0.7931034483,0.6549295775,0,1
0,0.7115384615,0.7115384615,0,0,0.4736842105,0.4444444444,0.0202020202,1,0.02222222222,0.9518072289,0.02222222222,0.4655172414,0.7535211268,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.1052631579,0.3888888889,0.0101010101,1,0.01111111111,0,0.01111111111,0.6206896552,0.7535211268,0.68,1
0,0.6346153846,0.6153846154,0.2,0.2,0.3157894737,0.2222222222,0,0.8333333333,0.01111111111,0.5240963855,0,0.8879310345,0.6549295775,0.86,1
0,0.4615384615,0.4615384615,0,0,0.3684210526,0.05555555556,0.0101010101,0,0.01111111111,0,0.01111111111,0.4655172414,1,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.3157894737,0.2222222222,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.6206896552,0.5633802817,0.68,1
0,0.4038461538,0.4423076923,0.4,0.2,0.3157894737,0.2222222222,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.6206896552,0.2042253521,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.2105263158,0.1111111111,0,0.8333333333,0.01111111111,0.5240963855,0,0.9655172414,0.6549295775,0.96,1
0,0.8269230769,0.8269230769,0.9,0,0.2105263158,0.1111111111,0,0.8333333333,0.04444444444,0.1807228916,0.02222222222,0.9396551724,0.8732394366,0.18,0
0,0.6923076923,0.6538461538,0.2,0.2,0.2631578947,0.3333333333,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.7931034483,0.2042253521,0.68,1
0,0.6730769231,0.5769230769,0.3,1,0.05263157895,0,0.0101010101,1,0.03333333333,0,0.03333333333,0.7931034483,0.5633802817,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.2631578947,0.3333333333,0.0101010101,1,0.01111111111,0,0.01111111111,0.8879310345,0.2042253521,0.68,1
0,0.05769230769,0.03846153846,0.3,1,0.05263157895,0,0,0.8333333333,0.01111111111,0.5240963855,0,0.1551724138,0.9366197183,0.92,1
0,0.3076923077,0.2884615385,0,0,0.4210526316,0.1666666667,0.0101010101,1,0.01111111111,0,0.01111111111,0.8879310345,0.2042253521,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.2105263158,0.1111111111,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.6206896552,0.838028169,0.68,1
0,0.9423076923,0.9423076923,0.6,1,0.1052631579,0.3888888889,0.0101010101,1,0.03333333333,0.75,0.03333333333,0.4137931034,0.838028169,0.68,1
0,0.4038461538,0.4423076923,0.4,0.2,0.1052631579,0.3888888889,0,0.8333333333,0.01111111111,0.5240963855,0.01111111111,0.6206896552,0.6549295775,0.68,1
0,0.4038461538,0.4423076923,0.4,0.2,0.2105263158,0.1111111111,0.0202020202,1,0.02222222222,0.9518072289,0.02222222222,0.7931034483,0.5633802817,0.68,1
0,0.6730769231,0.5769230769,0.3,1,0.05263157895,0,0.0101010101,0.3333333333,0.01111111111,0.9518072289,0.01111111111,0.724137931,1,0.68,1
0,0.4423076923,0.4038461538,0.4,0.2,0.2631578947,0.3333333333,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.974137931,0.2042253521,0.68,1
0,0.8653846154,0.8653846154,1,0.6,0.1052631579,0.3888888889,0.0101010101,1,0.01111111111,0,0.01111111111,0.8879310345,0.7535211268,0.68,1
0.1428571429,0.4615384615,0.4615384615,0,0,0.5789473684,0.9444444444,0.0202020202,1,0.01111111111,0.75,0.01111111111,0.8879310345,0.6549295775,0.68,1
0,0.8076923077,0.8076923077,0.7,0.6,0.3684210526,0.05555555556,0,0.8333333333,0.01111111111,0.2228915663,0,0.2931034483,0.8098591549,0,1
0.1428571429,0.6923076923,0.6538461538,0.2,0.2,0.7894736842,0.5555555556,0.0101010101,0.8333333333,0.01111111111,0.75,0.01111111111,0.7931034483,0.6549295775,0.68,1
0,0.4038461538,0.4423076923,0.4,0.2,0.1052631579,0.3888888889,0.0101010101,0.8333333333,0.01111111111,0.75,0.01111111111,0.8879310345,0.2042253521,0.68,1
0,0.6730769231,0.5769230769,0.3,1,0.2105263158,0.1111111111,0.0202020202,0.3333333333,0.01111111111,0,0.01111111111,0.2068965517,0.5633802817,0.68,1
0,0.8653846154,0.8653846154,1,0.6,0.4210526316,0.1666666667,0.0101010101,1,0.04444444444,0,0.04444444444,0.6206896552,0.5563380282,0.68,1
0,0.1153846154,0.1153846154,0.4,0.2,0.2105263158,0.1111111111,0,0.8333333333,0.01111111111,0.75,0.01111111111,0.8879310345,0.9154929577,0.68,1
0,0.4615384615,0.4615384615,0,0,0.2631578947,0.3333333333,0.0202020202,0.8333333333,0.01111111111,0.75,0.01111111111,0.8879310345,0.6549295775,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.05263157895,0,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.6206896552,0.5633802817,0.68,1
0,0.07692307692,0.07692307692,0.6,1,0.2105263158,0.1111111111,0,0.8333333333,0.01111111111,0.5240963855,0,1,0.838028169,0,1
0,0.5384615385,0.5384615385,0.3,1,0.2631578947,0.3333333333,0.0101010101,1,0.01111111111,0.9518072289,0.01111111111,0.9655172414,0.5422535211,0.68,1
1,0.07692307692,0.07692307692,0.6,1,0.4736842105,0.4444444444,0,0.8333333333,0.01111111111,0.75,0.01111111111,0.9655172414,0.6549295775,0.68,1
0,0.4615384615,0.4615384615,0,0,0.2631578947,0.3333333333,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.6206896552,0.2042253521,0.68,1
0,0.8461538462,0.8461538462,0.1,0.6,0.3684210526,0.05555555556,0.0101010101,0.3333333333,0.01111111111,0.75,0.01111111111,0.9396551724,0.2042253521,0.68,1
0,0.4423076923,0.4038461538,0.4,0.2,0.3157894737,0.2222222222,0.0101010101,1,0.02222222222,0.7921686747,0.02222222222,0.6206896552,0.2042253521,0.68,0
